ufb,usefulness,experience,numofrv,lenrv,dup,score
18,0.620689655,1803,9,752.8888889,1,8
1,1,0,1,522,0,8
2,0.666666667,0,1,416,0,8
7,1,0,1,561,0,8
17,0.320754717,1529,2,383.5,1,8
155,0.803108808,1710,34,1440.166667,1,8
87,0.707317073,0,1,1749,0,8
0,0,0,1,222,0,8
12,0.4,1638,2,2254,1,8
11,1,0,1,626,0,8
467,0.820738137,2926,80,804.425,1,8
23,0.469387755,15,2,617,1,8
31,0.815789474,178,2,337,1,8
2,1,0,1,811,0,8
172,0.796296296,2018,27,654.6666667,1,8
0,0,0,1,862,0,8
7,1,0,1,1437,0,8
4,0.444444444,416,6,586.1666667,1,8
1,0.5,890,2,308,1,8
2,1,0,1,837,0,8
1,0.5,0,1,252,0,8
2,0.4,0,1,1126,0,8
71,0.47972973,450,2,1189.5,1,8
1,1,0,1,665,0,8
4,1,0,1,472,0,8
11,0.647058824,0,2,2965,1,8
32,0.484848485,0,1,674,0,8
2,1,0,1,325,0,8
17,0.53125,422,5,766.2,1,8
14,0.7,0,1,730,0,8
5,0.238095238,0,1,1038,0,8
4,1,0,1,189,0,8
16,0.842105263,5,3,599.3333333,1,8
23,0.353846154,999,6,1138.333333,1,8
37,0.755102041,0,1,1479,0,9
15,1,1538,3,1268.666667,1,9
34,0.618181818,387,8,1246,1,9
2,0.4,0,1,861,0,9
12,0.857142857,111,4,1326,1,9
8,1,0,1,983,0,9
32,0.390243902,2338,8,370.875,1,9
25,0.892857143,850,3,705.3333333,1,9
1,1,0,1,532,0,9
5,0.625,0,1,355,0,9
4,1,0,1,1591,0,9
129,0.716666667,1876,24,711.2916667,1,9
